EU	GL	JP	NA	OT	genre	platform	pub	title	year	mGame
9.24	21.28	0.99	7.06	4.0	Action	PS3	Take-Two Interactive	Grand Theft Auto V	2013	1
5.73	13.8	0.65	4.99	2.42	Shooter	PS3	Activision	Call of Duty: Black Ops II	2012	1
5.73	13.32	0.49	5.54	1.57	Shooter	PS3	Activision	Call of Duty: Modern Warfare 3	2011	1
4.37	12.65	0.48	6.01	1.8	Shooter	PS3	Activision	Call of Duty: Black Ops	2010	1
4.82	10.7	0.81	2.96	2.11	Racing	PS3	Sony Computer Entertainment	Gran Turismo 5	2010	1
3.64	10.6	0.38	4.99	1.6	Shooter	PS3	Activision	Call of Duty: Modern Warfare 2	2009	1
3.7	10.52	0.44	4.78	1.61	Action	PS3	Take-Two Interactive	Grand Theft Auto IV	2008	1
3.63	9.38	0.39	4.11	1.26	Shooter	PS3	Activision	Call of Duty: Ghosts	2013	1
5.01	8.17	0.13	1.07	1.97	Action	PS3	Electronic Arts	FIFA Soccer 13	2012	1
2.89	7.18	0.35	2.86	1.09	Shooter	PS3	Electronic Arts	Battlefield 3	2011	1
2.75	6.74	0.19	2.77	1.03	Action	PS3	Sony Computer Entertainment	Uncharted 3: Drake's Deception	2011	1
2.26	6.7	0.28	3.12	1.03	Shooter	PS3	Activision	Call of Duty 4: Modern Warfare	2007	1
2.2	6.68	0.21	3.28	0.98	Action	PS3	Sony Computer Entertainment	Uncharted 2: Among Thieves	2009	1
4.3	6.65	0.11	0.84	1.4	Sports	PS3	Electronic Arts	FIFA 12	2011	1
2.53	6.52	0.17	2.81	1.0	Action	PS3	Take-Two Interactive	Red Dead Redemption	2010	1
4.24	6.48	0.07	0.79	1.38	Sports	PS3	Electronic Arts	FIFA 14	2013	1
2.52	6.46	0.16	2.65	1.12	Action	PS3	Ubisoft	Assassin's Creed III	2012	1
2.61	6.42	0.25	2.56	1.0	Role-Playing	PS3	Bethesda Softworks	The Elder Scrolls V: Skyrim	2011	1
1.71	5.99	0.83	2.63	0.82	Action	PS3	Konami Digital Entertainment	Metal Gear Solid 4: Guns of the Patriots	2008	1
2.2	5.9	0.29	2.41	0.99	Action	PS3	Sony Computer Entertainment Europe	The Last of Us	2013	1
